idBeer,Name,ABV,IBU,Color,OriginalGravity,FinalGravity,Description,Brewed,Kegged,Tapped,Notes
1,Porter,8.1,24,30,1.072,1.01,"Low Alpha acid German and Slovenian hops make this an easy-drinking beer.  Slightly dry, this beer hosts several specialty grains that provide you with different flavors while drinking",10/22/2016 0:00,12/11/2016 0:00,12/28/2016 0:00,"This beer was specially produced to honor my good friend Sharon. It has become a great tradition to ensure I dedicate one brew per year to her simply because she’s great to drink with, and…we all love her!"
2,Apollo/Citra IPA,7.2,73,9.8,1.061,1.006,"High Alpha acid Apollo hops gives this beer a strong bitterness, but it is compensated by the great flavors from the late-addition Citra hops.",10/17/2016 0:00,12/11/2016 0:00,12/31/2016 0:00,NULL
3,Jalapeno Ale,6,32,7.7,1.057,1.011,"Brewed with hot Jalapeno peppers from Tagg’s garden. Tagg roasted, toasted, then froze the peppers to ensure all of the capsaicin and flavors were released. Their addition to the secondary fermentation gives this beer a nice hint of Jalapeno flavor and a slight spiciness that accumulates the more you drink.",9/27/2016 0:00,11/16/2016 0:00,12/5/2016 0:00,Made because Tagg didn’t know what to do with the over-abundance of peppers his garden produced this year.
4,IPA,6.9,49,7.4,1.064,1.011,A great run-of-the-mill IPA with just the right amount of dryness to make it easy to drink.,5/10/2016 0:00,7/7/2016 0:00,12/24/2016 0:00,NULL
5,Rye Pale Ale,6.4,29,4.2,1.058,1.009,"Though the cherry didn’t “pop” with this beer, the breadiness of the Rye definitely shines.  A well-balanced beer.",7/12/2016 0:00,9/14/2016 0:00,11/14/2016 0:00,"If you like Rye or Pumpernickel bread, you’ll love this beer!"
6,American Ale,5.6,19,5.6,1.048,1.005,Slightly dry beer using Czech and New Zealand hops,11/29/2016 0:00,12/27/2016 0:00,2/1/2017 0:00,NULL
7,Red Wheat IPA,6.2,61,13,1.057,1.01,Has slight citrus notes and is very drinkable.  2017 AHA GOLD AWARD WINNER!,NULL,NULL,NULL,NULL
8,Golden IPA,7.1,53,14,1.061,1.007,Dry classic IPA.  Goes down smooth.,NULL,NULL,NULL,NULL
9,Rye IPA,6.8,55,4.8,1.06,1.008,Dry IPA brewed with Calypso hops,NULL,NULL,NULL,NULL
10,Black IPA,6.5,53,17,1.016,1.01,Roasted Barley darkened IPA with melanoidin for body.  2017 AHA BRONZE AWARD WINNER!,NULL,NULL,NULL,NULL
11,Donna's Ale,5.1,14,7,1.048,1.011,Built because of a special request from Donna for an easy-drink'n citrusy beer.  THANKS DONNA!,3/5/2017 0:00,4/14/2017 0:00,4/18/2017 0:00,NULL
