         2644282 function calls (2602705 primitive calls) in 15.040 seconds

   Ordered by: cumulative time
   List reduced from 3068 to 50 due to restriction <50>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      538    0.008    0.000   30.037    0.056 /opt/homebrew/Cellar/python@3.13/3.13.2/Frameworks/Python.framework/Versions/3.13/lib/python3.13/asyncio/base_events.py:1960(_run_once)
      537    0.028    0.000   14.739    0.027 /opt/homebrew/Cellar/python@3.13/3.13.2/Frameworks/Python.framework/Versions/3.13/lib/python3.13/selectors.py:540(select)
     8993    0.056    0.000    3.767    0.000 /Users/rritchey/Development/KegDisplay/KegDisplay/renderer.py:436(display_next_frame)
      429    0.009    0.000    3.582    0.008 /Users/rritchey/Development/KegDisplay/KegDisplay/display/virtual_display.py:57(display)
     2581    3.529    0.001    3.529    0.001 {method 'call' of '_tkinter.tkapp' objects}
      429    0.000    0.000    3.007    0.007 /opt/homebrew/Cellar/python@3.13/3.13.2/Frameworks/Python.framework/Versions/3.13/lib/python3.13/tkinter/__init__.py:1465(update)
20216/1698    0.025    0.000    0.557    0.000 /Users/rritchey/Library/Caches/pypoetry/virtualenvs/kegdisplay-LBrQDqVU-py3.13/lib/python3.13/site-packages/tinyDisplay/render/widget.py:578(render)
6736/1690    0.005    0.000    0.525    0.000 /Users/rritchey/Library/Caches/pypoetry/virtualenvs/kegdisplay-LBrQDqVU-py3.13/lib/python3.13/site-packages/tinyDisplay/render/collection.py:183(_render)
6736/1690    0.018    0.000    0.509    0.000 /Users/rritchey/Library/Caches/pypoetry/virtualenvs/kegdisplay-LBrQDqVU-py3.13/lib/python3.13/site-packages/tinyDisplay/render/collection.py:113(_renderWidgets)
      429    0.000    0.000    0.304    0.001 /opt/homebrew/Cellar/python@3.13/3.13.2/Frameworks/Python.framework/Versions/3.13/lib/python3.13/tkinter/__init__.py:2988(create_image)
      429    0.002    0.000    0.304    0.001 /opt/homebrew/Cellar/python@3.13/3.13.2/Frameworks/Python.framework/Versions/3.13/lib/python3.13/tkinter/__init__.py:2968(_create)
  430/429    0.013    0.000    0.205    0.000 /Users/rritchey/Library/Caches/pypoetry/virtualenvs/kegdisplay-LBrQDqVU-py3.13/lib/python3.13/site-packages/PIL/ImageTk.py:99(__init__)
    20236    0.052    0.000    0.197    0.000 /Users/rritchey/Library/Caches/pypoetry/virtualenvs/kegdisplay-LBrQDqVU-py3.13/lib/python3.13/site-packages/tinyDisplay/render/widget.py:246(_evalAll)
      538    0.169    0.000    0.169    0.000 {method 'control' of 'select.kqueue' objects}
    20228    0.038    0.000    0.165    0.000 /Users/rritchey/Library/Caches/pypoetry/virtualenvs/kegdisplay-LBrQDqVU-py3.13/lib/python3.13/site-packages/tinyDisplay/render/widget.py:277(_fixColors)
        2    0.001    0.001    0.162    0.081 /Users/rritchey/Development/KegDisplay/KegDisplay/renderer.py:288(generate_image_sequence)
