         4339127 function calls (4278794 primitive calls) in 1.230 seconds

   Ordered by: cumulative time
   List reduced from 76 to 50 due to restriction <50>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       10    0.009    0.001    1.238    0.124 /Users/rritchey/Development/KegDisplay/KegDisplay/renderer.py:288(generate_image_sequence)
42588/3549    0.053    0.000    1.122    0.000 /Users/rritchey/Library/Caches/pypoetry/virtualenvs/kegdisplay-LBrQDqVU-py3.13/lib/python3.13/site-packages/tinyDisplay/render/widget.py:578(render)
14196/3549    0.010    0.000    1.059    0.000 /Users/rritchey/Library/Caches/pypoetry/virtualenvs/kegdisplay-LBrQDqVU-py3.13/lib/python3.13/site-packages/tinyDisplay/render/collection.py:183(_render)
14196/3549    0.038    0.000    1.031    0.000 /Users/rritchey/Library/Caches/pypoetry/virtualenvs/kegdisplay-LBrQDqVU-py3.13/lib/python3.13/site-packages/tinyDisplay/render/collection.py:113(_renderWidgets)
    42588    0.108    0.000    0.411    0.000 /Users/rritchey/Library/Caches/pypoetry/virtualenvs/kegdisplay-LBrQDqVU-py3.13/lib/python3.13/site-packages/tinyDisplay/render/widget.py:246(_evalAll)
    42588    0.079    0.000    0.342    0.000 /Users/rritchey/Library/Caches/pypoetry/virtualenvs/kegdisplay-LBrQDqVU-py3.13/lib/python3.13/site-packages/tinyDisplay/render/widget.py:277(_fixColors)
   571389    0.157    0.000    0.274    0.000 /Users/rritchey/Library/Caches/pypoetry/virtualenvs/kegdisplay-LBrQDqVU-py3.13/lib/python3.13/site-packages/tinyDisplay/utility.py:1349(eval)
    42588    0.250    0.000    0.250    0.000 {built-in method builtins.dir}
     3549    0.004    0.000    0.126    0.000 /Users/rritchey/Library/Caches/pypoetry/virtualenvs/kegdisplay-LBrQDqVU-py3.13/lib/python3.13/site-packages/tinyDisplay/render/widget.py:1302(_render)
  1254267    0.073    0.000    0.115    0.000 {built-in method builtins.hasattr}
   133521    0.060    0.000    0.073    0.000 /Users/rritchey/Library/Caches/pypoetry/virtualenvs/kegdisplay-LBrQDqVU-py3.13/lib/python3.13/site-packages/tinyDisplay/render/widget.py:287(__getattr__)
     7088    0.012    0.000    0.070    0.000 /Users/rritchey/Library/Caches/pypoetry/virtualenvs/kegdisplay-LBrQDqVU-py3.13/lib/python3.13/site-packages/PIL/Image.py:940(convert)
    10203    0.014    0.000    0.060    0.000 /Users/rritchey/Library/Caches/pypoetry/virtualenvs/kegdisplay-LBrQDqVU-py3.13/lib/python3.13/site-packages/tinyDisplay/render/widget.py:541(_place)
    13493    0.021    0.000    0.053    0.000 /Users/rritchey/Library/Caches/pypoetry/virtualenvs/kegdisplay-LBrQDqVU-py3.13/lib/python3.13/site-packages/PIL/Image.py:1761(paste)
    21264    0.049    0.000    0.049    0.000 {method 'convert' of 'ImagingCore' objects}
   571389    0.048    0.000    0.048    0.000 /opt/homebrew/Cellar/python@3.13/3.13.2/Frameworks/Python.framework/Versions/3.13/lib/python3.13/collections/__init__.py:1003(__init__)
     2550    0.002    0.000    0.046    0.000 /Users/rritchey/Library/Caches/pypoetry/virtualenvs/kegdisplay-LBrQDqVU-py3.13/lib/python3.13/site-packages/tinyDisplay/render/widget.py:1589(_paintScrolledWidget)
    42588    0.023    0.000    0.040    0.000 /Users/rritchey/Library/Caches/pypoetry/virtualenvs/kegdisplay-LBrQDqVU-py3.13/lib/python3.13/site-packages/tinyDisplay/render/widget.py:342(_computeLocalDB)
    28392    0.005    0.000    0.036    0.000 /Users/rritchey/Library/Caches/pypoetry/virtualenvs/kegdisplay-LBrQDqVU-py3.13/lib/python3.13/site-packages/tinyDisplay/utility.py:1321(<lambda>)
     7088    0.013    0.000    0.035    0.000 /Users/rritchey/Library/Caches/pypoetry/virtualenvs/kegdisplay-LBrQDqVU-py3.13/lib/python3.13/site-packages/PIL/Image.py:772(tobytes)
    28392    0.007    0.000    0.031    0.000 {built-in method builtins.eval}
     2550    0.009    0.000    0.023    0.000 /Users/rritchey/Library/Caches/pypoetry/virtualenvs/kegdisplay-LBrQDqVU-py3.13/lib/python3.13/site-packages/tinyDisplay/render/widget.py:1554(_computeShadowPlacements)
     7652    0.003    0.000    0.023    0.000 /Users/rritchey/Library/Caches/pypoetry/virtualenvs/kegdisplay-LBrQDqVU-py3.13/lib/python3.13/site-packages/tinyDisplay/render/widget.py:367(clear)
   176099    0.018    0.000    0.021    0.000 {built-in method builtins.getattr}
     7652    0.006    0.000    0.020    0.000 /Users/rritchey/Library/Caches/pypoetry/virtualenvs/kegdisplay-LBrQDqVU-py3.13/lib/python3.13/site-packages/PIL/Image.py:3053(new)
    42588    0.010    0.000    0.019    0.000 /Users/rritchey/Library/Caches/pypoetry/virtualenvs/kegdisplay-LBrQDqVU-py3.13/lib/python3.13/site-packages/tinyDisplay/render/widget.py:463(_updateTimers)
    46137    0.012    0.000    0.015    0.000 /opt/homebrew/Cellar/python@3.13/3.13.2/Frameworks/Python.framework/Versions/3.13/lib/python3.13/collections/__init__.py:1013(__getitem__)
    78078    0.015    0.000    0.015    0.000 /Users/rritchey/Library/Caches/pypoetry/virtualenvs/kegdisplay-LBrQDqVU-py3.13/lib/python3.13/site-packages/tinyDisplay/render/widget.py:394(active)
